sn,responses,label
560,"Traffic can be organized well by :

Firstly targeting at the RTO Officers as they issue Driving Licenses blindly, they have to Re-Test all the Drivers Licenses and they will end up correcting the fault in cancelling 50% of illegal licenses issued.

Secondly they should target on all Driving Schools as they provide Driving License in just 20 Hrs of classes which can be opted in 1hr/day for 20 days basis or whichever is convenient but it should sum upto 20 Hours which is totally insane, by this inexperienced riders and drivers on roads there will be only improper lane discipline.",0
561,Reducing the 4 vehicle usage may reduce the traffic and increase the metro lines. bus transportation should be increased,1
562,There be some Bus only routes and entire city to be covered by electric only buses. connectivity is a big issue in city and to airport and need to be properly connected possibly with open roof electric buses.,0
563,"Below factors aggravate traffic problem in the city - a)Traffic violations by auto, cabs in a menace 2) Lack of substantial CCTV surveillance 3) No prior information about road blocks or redirection to public. 4)Lack of proper planning when it comes to road works",-1
564,Traffic issues should have to be resolved by proper planning and taking consideration for measurement whoever may be require.,0
565,"Provide traffic less track for bicycles, and educate traffic police. ",0
566,"Request to sync the traffic signal across main corridor of city.., it will help commuters to move without stopping frequently at every junction, considering syncing speed of 30kmph .",0
567,can be improvised with expansion of roads and if well planned,1
568,Traffic congestion is one of the biggest problem Bengaluru is facing as of now. Please focus on to the Solution which improves the traffic.,-1
569,"The time scales for addressing the traffic and congestion problem is not there. Inadequate parking facility and ways to address that is missing. Park and ride facility should be a norm and reducing traffic in central business district might be considered.
Heavy vehicles entrance to city should be controlled.
Bottlenecks in traffic flow like KR Puram bridge, Indira Nagar, and many such areas are immediate concerns and needs quick response.",-1
570,"I Am a cyclist, and every day commuting in cycle in the busy traffic is a problem.. for an eco friendly city green transport has to be deployed. hence having Cycle friendly roads are very much necessary. Along with this, the roads especially at the traffic signal junctions should be in good conditions, as I have observed the stretch of the road will be more or less good, but exactly after the signal, the roads will be dug up or have pot holes, which tends for slow exit of traffic from the signals.. this condition is in many signals. Another request is to ban old/Vehicles with more pollution, inhaling more exhaust of the vehicle while cycling becomes difficult.",-1
571,"Currently the existing roads are not enough to hold the vehicle. When extending the roads, pls plan for next 50 years and expand, the same think to be done while developing the new layout/place",-1
572,Faster Implementation of the plans will be key for the Bangalore in next few years,1
573,"Recycle Products can be used in transportation. and to avoid the traffic issue's we have to update our-self,  and we have to follow the roles and regulations too! so the management and user contribution is most important.",0
574,Traffic is the main concern in Bangalore. and also road pavement should be good.,0
575,"Everything Should not be only on Papers and Proposals. It should come in action quick. Seeing the rate of new vehicles getting registered in Namma Bengaluru. It will definitely be a nightmare to drive in the city by 2020. if nothing gets implemented, it will not be fit for living for sure. Also New technology should be implemented in development rather than using the same old techniques and skills. Work Contracts awarding should be centralized to one company instead of splitting it to many contractors, so that he can be questioned for any quality issues.",-1
576,"One major reason for traffic jam in BLR lack of alternative road. There is often only one road for one particular area. No alternate road is oresent or if its there its too far. In other cities e.g.Pune there are multiple entry and exit points going into any area, spreading traffic evenly. With only single main entry/exit point all traffic is forced to pass through one choking point. For example, Panathur villege area has only one proper entry/exit from ORR. No small roads connecting inner gallis/roads. Everyone who wants to to in Panathur is forced through a small main road. In any other city there would have been multiple entry and exit roads planned for this area. Sadly BLR city planning didnot consider this while approving layouts. This neds to change.",0
577,The govt. should be strengthen the traffic rules and make the people abide them. And at the same time it is our responsibility to follow the rules for our own benefit.,0
578,"Heavy use of technology for traffic management. Sensor based signalling system, clear road markings, removal of road hazards for e.g. unscientific speed bumps, unplanned dividers, barricades, creation of multi-level parking, foot-over bridge at regular interval, proper feeder network to metro and emphasis on last mile connectivity.",0
579,"Good thought, however I think we can increase metro connections to the old city areas which will reduce the general traffic drastically.",1
580,Roads are completely logged... both in weekdays and weekends... we really need to do something really fast! I believe that we are significantly underinvesting and we will start losing our competitive edge (with respect to other cities) fast! Namma Bengaluru - lets take action!,-1
581,No bus connectivity from certain areas to Electronics City and Whitefield.,-1
582,Progress of planning and implementation is very slow,-1
583,"Pretty decent plan this. However, the most important thing is to take care of the quality of build. Any construction should withstand for at least 10 years. This also means that the plan should include the increase in traffic towards the end of 10 years before the maintenance phase takes its turn.",1
584,No lane discipline and chaotic driving,-1
585,"Details are missing. Badly designed roads. ORR has bus stops on the main road and the service roads are not used properly. Exit from ORR and entry into ORR through the same exit point is a blunder in design. What is being done to remedy the major flaws in the road designs, at least the main arterial roads.",-1
586,"The following are basic reasons for traffic problems in the city:

1. Quality of roads
2. Non accountability of contractors for poor roads
3. Constant digging of roads
4. Poor patch work of roads
5. Delay in inspection of roads and hence greater damage
6. Lack of incentive to use public transport
7. Poor last mile connectivity
8. Major surge in taxi operators and hence 4 wheelers
9. Non existence of limiting vehicle ownership policy
10. Upsurge in 2 wheeler traffic
11. Lack of incentive to walk
12. Existence of corridors of converging traffic and narrowing roads
13. Traffic police is busy fining people than controlling traffic

Here are possible solutions to the above points:

1. Public Accountability of the contractor and the office responsible to ensure road quality - timely inspection and repair, minimum time guarantee being imposed,  usage of apps with location to be able to tag the location of problem and response mechanism along with auto escalation matrix 

2. Build and Incentivise public transport use to major hubs of traffic movement - this includes safe and regular last mile connectivity options, incentivising walking via well kept footpaths, overhead bridges, cycle routes. Without last mile, people will still use private transport or autos and taxis 

3. Phase out 3 wheelers and introduce 4 wheeler autos - the driving behaviour can be curtailed this way

4. Dedicated bus lanes and non private transport areas within the city - de congest rings to increase public transport utilisation

5. Phase out privately owned 2 wheelers. Only logistics organisations can own them. Provided subsidised public transport usage to this part of public. 

6. Private organisations to be forced to implement no 2 wheeler policy. 

7. Employ strict policing mechanisms to ensure smooth traffic flow. Move to digitally secure payments to disband bribes, AI And visual tech for infringement identification, safety driving mechanisms such as high pricing of insurance for drivers based on driving style

8. Identification of traffic flow to specific locations such as tech parks and regulate time of travel. E.g Manyata tech park can operate only after 11 am, while ITPL can operate starting 7 am. These can split peak traffic load

9. Relocation of tech parks to separate small townships that encompass a complete habitat. Will cause responsible development of the area. SEZs need to be identified to incentivise movement, affordable development to be undertaken
",0
587,There should be a extra toll fee levied on the people who travel single in a car.,0
588,"Start with enforcement of traffic laws... make roads walkable by enforcing crossing and observance of foot paths, levy heavy fines for blocking the intersection due to red lights. prohibit unnecessary honking and traffic in residential areas. Keep separate lanes for motorcycles, scooters and rickshaws",-1
589,Public transport should be strengthened and incentivise people who are using public transport by means of tax waiver etc. Interconnectivity with different modes of transport must be made efficient. Footpaths and sky walks should be made GU i,0
590,Each shopping area should have multi level car parking. Also all metro stations should have parking for 200-500 cars,0
591,We keep hearing plans but nothing concrete in reality. There are always delays. What will govt do to ensure projects complete on time with quality.,-1
592,Presently the lakes are filled with drainage.  How can that be revived?,-1
593,"24hours availability of water for recycled water should be ensured so that people need not have second overhead tank and can directly connect to toilets/garden.
Rain water should not be let out of any site, but forced into rain-water pits, to improve ground water and reduced flooding.",-1
594,"Good planning, to be established.",1
595,"There is no mention how govt stops water mafia and groundwater exploitation. Rainwater harvesting is not still made mandatory. Also more technology should be used to identify water pilferage across the pipelines. Water rationing is must. Beyond certain usage, the price has to be increased significantly. ",-1
596,"I would like to suggest that our storm water drains be made porous and incorporate recharge pits in them, so that the water outflow is reduced as a major part of the flow can get absorbed into the soil and restore the ground water . This simple system will recharge all the bore wells, open wells and also reduce the incidents of flooding.This has been implemented in many countries successfully and is is solution for the future of our cities.",0
597,"I believe the government should also consider public rainwater harvesting and recharge to offset the huge amount of land that has been paved with roads and concreted over.
My suggestion is to mandatory have bottom stones in roadside drains removed or replaced by seepage gratings every 30 feet. Zain addition there can be recharge pits constructed at low points in roads etc where overflow can be run off in the normal roadside drains. Water recharge by the govt on such a scale would augment small measures by people in their own residences or apartment complexes. If we continue taking out ground water at the rate we currently are and don't do something to recharge this precious resource in a thought out and proactive way our future generations in Bangalore will be doomed.
Kind regards,
Glenn Rego",0
598,Please collect rain water from houses near borewells and get the water into the borewell. Most house owners are doing only name sake rainwater harvesting. It's not enough to drill borewells and provide taps from common taps. These borewells need to be fed. Rainwater that is anyway flowing into drains can be diverted at the cost of BBMP so that this water is diverted back into the water table.,-1
599,(1) Water is Life. (2) Rejuvenation of Lake is mentioned in one para out of 200+ pages. Only way I see life to sustain is by 'recovering' the lost lakes all 300+ even though we may not be able to undo the 16 listed by Karnataka govt in http://www.karnataka.gov.in/Parisaramahiti/Pages/Lost-lakes-of-Bangalore.aspx (3) Robust programme to maintain cleanliness and protection of these lakes. (4) Improve ground water levels n every method possible.,-1
600,No residential or industrial fluid waste should be allowed to enter any lake.,0
601,Govt needs to come up with good plan to store water. Most of the areas in Bangalore are suffering from water deficiency. if this continues Bangalore will not have water in coming years.,-1
602,stop the water mafia currently run by political goons,-1
603,Rainwater must be absorbed as soon as it falls on the ground by remodelling rainwater drains. I can give technology for this.,0
604,"Recycling is most important, but the plan doesn't include any proposal to improve the ground water. Preservation of lakes and pond very important and should not make the lakes be the sewage facilities of bigger apartments inside Bangalore.",-1
605,"Waste water should be treated well to use it for city gardens, Bellandur,Ibloor, Sanky lake should be treated well, before it spoils the health of whole banglore. Man can not leave without water but Water can leave without a man...",0
606,"In the early 16th and 17 centuries, Bangalore has around 262 lakes and which has been reduced to 32 now. We should renovate the lost lakes and make it reusable. Atleast 50 more so that we will not have water scarcity.",0
607,"Please clean all the water boides which are startting to collect sewage and actual garbage. Take strict action against people throiwng garbage into theese water channels. The exsiting few channels are being polluted in a matter of months, I have seen this change in my area - there is a stream which passes thrugh the hal central township. It is has started to colelct garbage in a span of 1year. PLease do something to avoid such disasdters to other water bodies like the one near dmlur flyover area. 
Regards
Raj",0
608,What is the plan to actually protect the lakes and to raise the water table? There is no mention of RWH being mandated (and enforced) not only in apartments but also all over the city.,-1
609,There has been no mention of encroachment of lakes and how the action be taken against the real estate mafia. And help existing apartments to help build STPs as it is expensive to build one and not enough space to build it. Or build a common STP for a couple of buildings on a sharing basis.,-1
610,Carvery water should be made available and need to stop illegal ground water extraction. Every housing should work towards water conservation and ground water recharge. Se of them are paper not in real.,-1
611,"Unless there are major sewage treatments plants the problem of water contamination and loss of precious lakes cant be stopped, even at this point sewage treatment is still not considered as a major issue. The implementation of Rain Water Harvesting has not been completely. With the RWH facility we can improve the ground water table, which especially in Bangalore is depleting by the day.",-1
612,"As regarding storm water drains, they are closed by foot paths , as a result water is not being channeled into the drains .this is leading to flooding of roads. And also along with reviving lakes , air from.water systems on the lines of Israel needs to be looked into ..this can help.reduse dependence on cauvery water",-1
613,Their is no water connection here at whitefield  bangalore,-1
614,"Water quality is really very bad which leads to lot of hair and skin related problems. Moreover, the tanker supply is very bad is summer days.",-1
615,Plan for future water problems,0
616,"Please create artificial lakes in and around the city. This can store rain water and also increase beautiness of this city and will provide place for  people for recreation. 

I think big lakes in and around the city is the need of the hour.",0
617,"Ground water level is decreasing rapidly in Bangalore, recycling water is not the only thing to be done, more innovative ideas should be thought through. Some of the factories use lot of water resources they must be forced use recycled water and also strict 
regulations have to be made for these companies to have filters so that they don't pollute near by water bodies. Similar rules are required for big apartments which are getting water from borewells and tankers.",-1
618,We should look at options to revive the dying lakes as the first step towards water management,0
619,"If there is any pipeline broken(Drinking water line) or need to fix immediately, BWSSB will never be on time and there will be enormous amount of water pooled which i've seen/herd couple of times.",-1
620,"More innovative ways to solve water woes. Since Bengaluru is getting more drier every year, more water into our surrounding reserviors is needed. Prevent excessive pumping if underground water. Interlinking of rivers or smarter wats to provide for city's water needs.",-1
621,"Ban producing water to cool drink companies, water problem solved in seconds",0
622,how do you plan to tackle the water mafia?? they drain our water system and need to be monitored. checking on STP'S in large complexes is also to be considered,0
623,You still have the rule of dual piping and STP but not implemented,-1
624,RWH must be the norm. Revive old system of open Wells. Decentralise SWT - every block/apartment must have SWTP,-1
625,Wanted to see our city to implement rain water storage so that ground water level increase and make bengaluru out of water problem. outer places to get drinking water through bengaluru if we do successfully installed rain water management,0
626,"The proposed system is fine but what about it's maintenance, it's not just put the pipes and forget it.. There should be system to monitor it. And a proper system for sewage and care must be taken to see that there is no leakage/spillage of this drainage and Rajakaluve should be protected mostly as they are for purpose of rain water and not sewage water.",1
627,Lakes should be protected such that no garbage can be dumped into lakes and any unwanted growth in lake ( weeds choking the lake ) are removed,-1
628,"I liked the ideA of Rally for rivers by Isha foundations, i think if we cam implement for all rivers in Karnataka, i am very sure all our lakes will be in par with finland or best in the world. Again i can be part of this initiative",0
629,Many areas in bangalore still don't have proper water facilities they wait for 6 day's to fetch drinking water which is once a week and this horrible condition is around shampur govindpur and few more. Please help,-1
630,Water is getting wasted day by day in Bengaluru and we as residents are ignoring that.  It’s time for us to wake up and find some solution to save water for the future,-1
631,"Why water tanker lobby is not being penalized? Why its all black money. Why all water payment is not through digital.. And this is plain water. Why its being charged.. I can understand transportation charge but why its so high.. When will basic necessity of water being fulfilled by municipality. Let them charge as per the consumption but through private party is black money. Let it via ""pay as you use"" mode. North Bangalore is fully ignored by BWSSB,",-1
632,"BDA, BWSSB and BBMP are collectively responsible for gross water misuse, water overdraft, aggravating the tensions between Karnataka and Tamil Nadu over sharing the Kaveri water, and depriving the village panchayats surrounding Bangalore of their fair share of water. Stringent limiting of water use (residential, commercial, industrial, agricultural) should have been put in place when the city's population crossed 5 million. In early 2018 the population is 10 million and the 3 agencies have no water rationing mechanism for the city. An allocation of about 600 litres/day per typical household (see pg 105 for the figures) is far too high for a metro that has lost three-quarters of its water bodies over the last two decades. Projecting a population of 20 million in 12 years with this water allocation per household is incomprehensible and shows just how far out of touch with hydrographic cycles the 3 agencies are.",-1
633,"1. Make aerators compulsory for all buildings. They save a lot of water.
2. RO water purifiers are not needed in most areas. People who use them shd store the water water and use it for v
Mopping , cleaning etc.
3.work with resident to tackle the problem of water leakage in pipes.
4. Do not harass residents of apt complex to retro fit STP. It's not feasible
5. Rain water harvesting should be encouraged. People should have incentives to do this.
6 .BWSSB shd advise people on how to install rain water harvesting systems.7. water saving methods should be taught at school and a gradual change in mind set will be seen.",0
634,Rains are more than substantial in Bengaluru and bbmp should consider storing these water in underground reservoirs in the time of need. Proper drainage channels will help in this regard.,0
635,"Also Water Mafia should be controlled, All citizens and government officials should be made aware that water is a resource and it doesn't belong to individuals. Government should meter the use of water at every home and bill for this usage even when owners of property own their own bore-well. ",-1
636,"Have a question here, how many times can d water be recycled to ensure there is no reverse impact. Also this topic HV to be linked with environment to ensure a proper mileage is received. Work on realising ground water issue and work towards addressing that. Get in to registration and track consumption. This will hold wastage.",0
637,"why is govt not considering putting up a De-salination plant for bangalore water woes. Israel has the latest technologies, why is it always depended on natural water source which is needed for agricultural purpose. if this is done bangalrore will not have water scarcity at all. Govt decided to waive 8600 Crores for farmer loans, why not use that money for building De-salination plants, farmers dont need loan waivers they need water for their lands. if bangalore has a desalination plants, then cauvery water could be used to farmers produce which will ensure that agriculture produce will increase drastically. Govt to look for ways to reduce their dependency on natural water source.",-1
638,Revive the lakes asap!,0
639,Dissatisfied,-1
640,"In the plan, why BWSSB has no plans to recycle water and sell to the citizens by way of tankers/dedicated pipelines to big apartments. ?? They seem to be putting all the responsibility on the citizen even in the master plan!! Regarding Cauvery water supply, please have Tippagondahalli Reservoir functional by preventing misuse of land in and around it. It is a precious reservoir which has regained life after 2017 monsoon.. ensure its continuity so that it supplements cauvery water. ",-1
641,Before planning for new building and new areas.. please plan to fix current areas like bellandur which is known by other name water mafia by tankers,-1
642,"We Bangalorians have many lakes within and around the city. These lakes are not maintained, they are dirty. If we concentrate on cleaning and maintaining these lakes than Bengaluru will not face water crisis whole year. We can collect rain water in lakes and channelise this lake water for bathroom purpose, gardening, etc. We can learn to maintain lakes from Mumbai, Maharashtra. Mumbai is having only source of rain water for full year and that rain water is used even for every thing including drinking. Maintainence of lake should be started ASAP as Bengaluru is facing increase in water crisis year by year. ",0
643,"Due to enormous constructions of apartments, tech parks happening across the length & breath of city, population has increased , so is the demand for water . In summer water levels go down & citizens rely on tankers for water . Govt & BBMP , other civic bodies need to think of reviving the lakes & Add green cover to manage this crisis . ",-1
644,"Why are we looking at kavery water for every household in bangalore. why cant we look at our own lakes, revive them and reuse. this is some kind of scam too. Why cant BBMP help every household to do rainwater harvest.",0
645,Ensure that the cavery water is supplied regularly and check for leakages,0
646,Clean water storage and clean lakes with green cover for a good rainfall within city limits. Rainwater harvesting mandatory for all buildings. Clean  and honest water management Board.,0
647,1.quality of drinking water. 2.Renovating all lakes in the city. Re,0
648,"New areas added should be serviced by BBMP with schedule. Setting up water recycling centres at convenient nearby location is just a statement not necessarily to happen
Locations should be identified now itself. Construction of duct along existing water line is must considering future expansions. Now existing water line and add recycled water line will be inside duct and should be large enough to add or replace with large did lines without digging the road. The number of inspection covers depend on length of a single pipe or flexible pipe. 
Rain water harvesting should be made compulsory irrespective of the condition arra
Storm water ducts on with side of road should have restricted flow barrages and several holes with tubing for water to seep in soil. Else, low-lying areas will be affected as happening now in several residential locations during monsoon. ",-1
649,"Try to scale the rainwater harvest problems
",0
650,Very nice,1
651,"Rejuvenate water bodies and stop giving in for land mafia.I can't understand how can we not take care of lakes when we have 2 lakhs revenue in our budget. Come up with 5 year plan and ensure clean all lakes,so that people can trust your abilities and transparency in admission. ",-1
652,Sewage water needs to be handled properly.,0
653,Limited focus on improving water level in the city and identifying alternate source of supply of water to the city.,-1
654,Again water tanckers are a menace. Where do they get the water from? and why is that water not available otherwise. We pay through our nose for the tankers.,0
655,"Need to provide basic water facility to Blore nearby areas to sustain the growth and City need to be decongested by developing nearby places like Anekal, Attibele, Sarjapura, Hoskote, DB Pura by BDA",-1
656,Create drainage system around lakes and bypass drainage water into this. Create a walking track and hangout place on the drainage canal  around the lake.,0
657,City should build facility to store the rain water it receives and use it for drinking purpose... Should not only depend on cauvery water...some of the lakes should be identified and restored for this purpose,0
658,Also water leakage mechanism should be put in place,0
659,Rain water harvesting needs more focus,0
660,"Make water harvesting mandatory, recycling the water usage to best possible measure. 

Ocean water to used in and around after treatment",0
661,Strict measures to be taken to repair the pipes asap when water pipes are broken to avoid wastage of water through leakage. There is also need to educate and create awareness about water conservation.,0
662,"Even we know Bangalore as Lake city but we can see that now a days condition of lakes are not good. Few of them are more dirty and few of them are very close to dry state (not this year, because of heavy rain). We need to do some program/guidance to increase ground water level. For this again we have to encourage people to use water harvesting in their house/society. Gov has to make tough rules for builders/individual owners to make the provision for rain water harvesting and without that don't give any kind of approval for that project. We also have to ask builder/individual owner to make provision to use the wate water in the house/society in other way. For example, in any society we can make a provision to use the water which is going out from water filter. This water can be used for flush/plantation etc. There should be a dedicated pipe line to utilize this water. We also encourage people to use some new technologies so we can save some water during our general usage like (hand wash, brushing etc...) Again it will not be possible from active participation of public but gov must start awareness program and keep doing this regularly instead of just for name shake.  ",-1
663,If it executed well and good,1
664,Request to treat the water from vrishabhavathi and make it a river front and tourist attraction,0
665,Making it mandatory to have Rain water harvesting system in an existing property and in newly built property is the only way to increase the ground water table in the city where there is very less ground available for the natural percolation. Another point is to convert all the existing lakes into sewage treatment plants with natural methods or for example as the lake Hussain Sagar in Hyderabad which is a tourist attraction but actually a sewage treatment plant.,-1
666,"Currently there is no proper supply of drinking water in many areas in Bengaluru. Where ever the existing lakes are there in and around Bengaluru, needs to be developed to increase the ground water level. Also it will be better to create Tree park to ensure the rain water does not flow out, but absorbed. In Government land dig the land for about 10 to 12 feet to collect the water during rainy days. This will ensure the ground water level increase.",-1
667,"We are blessed with Mother Kaveri and we have to utilize water wisely, and management has to take more care on the same.  nowadays water is precious thing in the world, Management has to create awareness programs. ",0
668,Water is the main source for the people. we have to do proper plan and supply the water for each house. many people still they are using water. but they not paying the water bill to govt.,0
669,The Master plan should aim to supply 24x7 supply as considered for other Smart cities. The main source being Cauvery needs to be effectively and potentially utilised. Citizens should be made aware of the value of water and needs an intensive training.,0
670,Concrete steps to be taken to conserve water as we see severe changes in climate last few years due to pollution. One step would be planting plants including fruit bearing/medicinal etc. along the both banks of the river Kaveri at least one kilometre on each side. so that ground water will increase in few years and steps also should be taken to manage waste from Industries and fine them if waste is not treated and being released into natural streams. Wastewater treatment plants to be constructed by the government for this purpose.,-1
671,"How does one get out of the Water mafia? A city dependent of private tankers for its citizens and expansion is risky and flawed. If the city cannot supply piped water supply to its citizens, BBMP / BWSSB should supply water out of the taxes we pay and not charged separately by private tankers. ",0
672,"Unless you provide water to private layout residents, your master plan is useless.",-1
673,STP should be must for all new apartment so that recycled water can be used for toilets & gardening,-1
674,"Not reassuring to include but then name someone else responsible.  Also evaluate how to cut water wastage and management of water during heavy rains... storm drains should be used to harvest water and there should be significant punishment/fine for dumping or adding things that will block drains, even if it is ""yard waste only"" ",-1
675,Place big waste box near two streets and deploy collectors on daily basis. If possible make use of water in repairing roads.,0
676,Public Dustbins must be there in ample numbers that too in every ward which has two portions one side for wet waste and other for dry waste,0
677,I have complained many times but still garabage is dump right near BBMP High school in East road Austin town BLR- 47,-1
678,Need to setup a team to study to manage urban waste. Landfill is not the solution. Burning of waste is a huge problem and this needs to be addressed at citizen level,-1
679,The amount of waste being generated every day cannot be accommodated in the proposed infrastructure.,-1
680,"Waste should be collected althernative days. and dustbins should be provided more places , so peoplewill not throw the waste in the roads. ",-1
681,Overall landfill method will not sustain. The idea of reducing waste generation has to be brought city. As a city we  will have come up with ways where we reduce waste by 30% - 40% per household from what we do now. BBMP should become just governing body and provide the contracts to innovative companies for converting wastes and generating revenue out of it.,-1
682,Plan looks good when imlemented,1
683,"Outsource garbage problem to companies who will take garbage and give money to govt. They will use this garbage for productivity. Stop spending tax payers money in garbage problem. Watch very old tv serial ""satyamev jayate"" report about garbage on Star Plus. Please stop fooling public",0
684,I feel like when we belong in a tech age. We should use more technology for everything. I read an article in the Bangalore mirror about this app called rubble made my teenagers meant to streamline waste collection. Called RUBBLE. Contact +91-9845309776 to know more about it.,0
685,"No concrete solution,  still searching place to dump,  initiate ward wise handling,  then people will be responsible ",-1
686,"Start putting penalties for not segregating wastes. As an immediate step, replace the 3 wheeler that are used to carry the waste. These are highly polluting and more often they keep littering the waste on the road",0
687,No fluid waste should be allowed to flow into any of the lakes.,0
688,"Also, make this job a bit dignified. The sewage pickers must have gloves and boots. It will make their job respectable as well as hygienic. ",-1
689,"Provide waste bins to all houses with minimum charges for collection.
Provide waste bins in every 50/ 100 meters in Bangalore. Currently people do not know where to throw garbage. 
You should make sure that, the houses without registering for waste bins should have more taxes/ fines to be paid.",0
690,"There is absolutely no control over waste collection by BBMP and waste disposal by general public.  Need to do a campaign and educate people  regarding disposal of waste and timely collection by BBMP.  Bangalore to be at par with other major cities, should have proper sewage system, open drains for rain water.  The sewage line and storm water drains currently  in place is unplanned, whenever the work carry out by contractor, there was no supervision by BWSSB or BBMP Engineers.  It is left to the labours to do the job at their will and wish.  Therefore corrective action should be taken immediately to  ensure sewage line is properly laid, and open drains are constructed on each road (main road and cross roads).",-1
691,"I think a master plan is all very well, but steps should be taken NOW.  Only then will this work by 2031.  Start with putting up trash cans by the road, and asking municipalities to make sure their workers empty them regularly.  Also close all the vats and get societies and buildings to have a compulsory trash removal system.  Fine People HEAVILY for littering or breaking the law.  And fine People for urinating in public.  It’s a health hazard and spreads diseases.  ",1
692,Lory points suck,-1
693,Th BBMP garbage auto are never on time and sometimes athy never come resulting people to dump the garbage in nearby area.There should be one common point and installation of dustbins so that it is easier for people to dump the garbage without waiting for the Garbage auto to come.,-1
694,"Every Citizen of Bangalore should be educated about segregation of waste into Dry & Wet waste. People who violate the rules, who do not seggregate & those who throw garbage in the public places should be fined. Waste bins should be provided by the government for those who cannot afford to buy 2 bins for Dry & Wet waste. All those who work for BBMP should be given good salary & provided with gloves, shoes & masks for them to work safely in handling the waste. CCTV should be installed to monitor those who violate the rules. High end robot trucks should be used to sweep the roads regularly. Waste production should be reduced slowly by reducing the use of plastics bags. bottles etc.",0
695,"Good idea that dumps going out of city.  
It's not always possible to be at home and wait for garbage van to throw garbage 
Need big garbage bins in residential n public localities. 
Segregation is not a very good idea and practically not everyone is doing this. As a result they throw the waste on vacant plots. 
",1
696,"Clear plan. But the middle men appointed to carry out the job is not done and it's not monitored properly. If this continues, the future plan will get distorted. Need officials regular visit to manage the contractor s work.",1
697,Implementation should be equally planned. People throw garbage in plastic bags. Heavy fine should be laid upon them. It is equivalent to committing a crime. The main reason for throwing garbage is the corporation vehicles come at one particular time only. To change this permanent closed bins have to be placed for every 10 street atleast. And this bin should be regularly emptied. And the bins have to be separate for dry and wet waste. Main thing is CCTV cameras should be present at the bin collection point. Heavy fine should be laid for those not separating the waste. Through CCTV fine should be laid upon people. Main problem of waste management start from the people creating them.,1
698,"Point1) each & every corner bang plastic ( eating these innocent way lots of cows died through  ailing.
2)  put road rules with fine.  
3) Take care complete envirnament through effective plants to put .
4)Avoid writing in road side walls with the ugly hand writing. Instead than keep big boards with effective writing , which is useful for general public.
5)Bring awareness in public caution driving, keeping envirnament clean ( through alerting about infections , because of their sheer carelessness how many deaths through infections) these all can be manageable  through  big, big banners .  It should do without stoping again, again. 
Thanks 
Kind Regards.
Radha srisailam.",0
699,"Daily pick up from every road must be done, and ensure all pick up points to be emptied now and then.",0
700,"Burning of garbage including plastic materials is a common sight in the city. This seems to be done by residents and by BBMP workers.Please use all the advertsing areas( experts visiting schools, colleges, using bill boards, TV ads,etc)   to educate the public about the consequences . Heavy fines to be charged for violating waste disposal rules. [ ",0
701,No one segregates waste we need to enforce stricter laws,-1
702,"This is near the Air force colony near Murugeshpalya. 
I have been traveling to this area from 10years. In the past 1 year itself , I have observed that the garbage is piling in the size of mini trucks. Please provide good waste management systems so that the people around do not litter theoir own city. To add to this it is a residential area, I do not understand how people are okay with living in sucha environment. THe garbage piles up in the morinng like a haystack. This is very harmful. It is setting the health facctor of the people around to a very bad state. I would like the authority to curb the add on garbage and hault it as soon as possible , so that it does not become a haazard to common human  life.
Regards.
Raj
",-1
703,Government should adopt some of the waste management methodologies that was telecasted on one of the episodes in Aamir Khan's Satyamev Jayate TV Program.,0
704,"Lanfill should not be an option at the moment now... fill now and eradicate later is no joke!! This will cause lot of issue to the near by areas... example of such lanfill gone worse can be found in our country itself Delhi -Agra expressway!! Which might happen around Bangalore the so said green city turning to be a growing place for MNCs and majorly growing city across India.

Then request of a new budgetary/ tender to clear such land mass especially in a quarry land which if dumped with plastic would take longer time to decompose... or might never!!

After dumping in such areas how are they covered is there any layering of dirt on such garbage??! 
If not then it doesn’t make any difference that the BBMP dump in such areas or the public dumping household garbage On their streets.

Hope to find a response to such poor act to play in future and pushing it for next 10years??!!

Yours concerned Citizen of Bangalore, HBR Layout-  560043",-1
705,"Our top leaders, burocrats has to come and see how middle, lower middle and poor income groups are living. They have to see the ground reality leaving their a/c rooms.",0
706,"Kindly work on stopping plastic use. The rule is in place, it has to be strictly implemented. ",0
707,Try to educate people,0
708,Please educate people about waste segregation and educate people not tie garbage in plastic covers. Please ban plastic covers with all vendors and please provide alternative. Please ask groceries shop to stop packing groceries in plastic and educate people to Bring their own bags for groceries and vegetables. Please supply milk in booths to avoid plastic packaging. Please let us save the environment. Please educate women about sustainable menstruation products like cloth pads and menstrual cups.,-1
709,Complete kormangala and ejipura area has the worst waste management,-1
710,Garbage everywhere. It stinks. Disease spread. Mosquito nuisance.,-1
711,"in many areas i have seen waste collectors not segregating dry and wet waste 
(i can give proof for following  pincode 560075 ",-1
712,Dissatisfied,-1
713,"Initially Government has to pay for all waste to each individuals, so people will practice to store waste properly and they will give to waste management system regularly. Once the culture is set government can slowly educate people regarding charity by using their waste management money",0
714,Garbage burning has been a common issue in Bengaluru. How are they going to enforce law and punish the people burning waste?,-1
715,"Under waste management there should be a cooperation between road management authority and waste management. Debris and garbage found on roads should be collected by gatbage collectors. The waste piled up is clogging our drains, canals and lakes. ",-1
716,Effective segregation and implementation of ensuring non degradable material is eliminated at source,0
717,Invest in smart collection of garbage,0
718,Unauthorized constructions and poor waste management in those areas.,-1
